location,total_vaccinations,people_fully_vaccinated,daily_vaccinations,date
Sweden,14142963.0,6791114.0,110074.0,2020-12-27
Switzerland,10778679.0,5295433.0,92509.0,2020-12-22
Syria,902519.0,367744.0,17369.0,2021-03-01
Taiwan,19435019.0,5039052.0,304962.0,2021-03-21
Tajikistan,4525937.0,2011987.0,88171.0,2021-05-07
Tanzania,885579.0,885579.0,24344.0,2021-08-08
Thailand,63614352.0,25012380.0,810226.0,2021-02-27
Timor,810855.0,315033.0,11248.0,2021-04-14
Togo,1215025.0,409297.0,23544.0,2021-03-09
Tokelau,1936.0,968.0,23.0,2021-06-21
Tonga,74503.0,27518.0,1723.0,2021-04-20
Trinidad and Tobago,1173839.0,564703.0,17905.0,2021-02-15
Tunisia,8620009.0,4149625.0,167388.0,2021-03-12
Turkey,113862236.0,47226488.0,1264431.0,2021-01-13
Turkmenistan,7580976.0,3206282.0,41369.0,2021-02-28
Turks and Caicos Islands,54417.0,26112.0,517.0,2021-01-10
Tuvalu,10861.0,4652.0,240.0,2021-04-27
Uganda,2793657.0,415486.0,37150.0,2021-03-09
Ukraine,14390358.0,6467945.0,134139.0,2021-02-24
United Arab Emirates,20661005.0,8525508.0,155312.0,2021-01-05
United Kingdom,94699994.0,44833280.0,602266.0,2020-12-13
United States,407446961.0,188902483.0,3384387.0,2020-12-20
Upper middle income,3263210427.0,1494375843.0,27439432.0,2020-12-15
Uruguay,6475849.0,2604607.0,49427.0,2021-02-27
Uzbekistan,22721000.0,4941860.0,426314.0,2021-03-31
Vanuatu,87583.0,28368.0,1977.0,2021-06-01
Venezuela,16127242.0,6190629.0,466473.0,2021-02-17
Vietnam,59003239.0,17191810.0,1254777.0,2021-03-07
Wales,4639108.0,2222202.0,33151.0,2020-12-13
Wallis and Futuna,11009.0,5260.0,343.0,2021-03-23
World,6652728424.0,2831198903.0,43389011.0,2020-12-01
Yemen,356173.0,48148.0,10240.0,2021-05-09
Zambia,843347.0,492678.0,13814.0,2021-04-14
Zimbabwe,5687958.0,2473780.0,75000.0,2021-02-18
