colonia,alcaldia,nueva_clave,total,cuartil,quintil,octil,decil,geo_shape,geo_point
CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,02-007,12,4,5,8,10,"{""type"": ""Polygon"", ""coordinates"": [[[-99.18958508632883, 19.485191477546735], [-99.1894566907001, 19.48516370368117], [-99.18940689939237, 19.48515293306083], [-99.18932829511436, 19.485135929724127], [-99.18923120330413, 19.48511492719246], [-99.18909080953961, 19.485084557644562], [-99.18889611738511, 19.485042442236363], [-99.18758245762766, 19.48475826799178], [-99.18675037791814, 19.484571522473733], [-99.18658855991539, 19.484532134180057], [-99.18566436037717, 19.484599765182477], [-99.18474553247982, 19.48443534152729], [-99.1843466126932, 19.484363953532892], [-99.18398122262563, 19.48429560159832], [-99.18327561384723, 19.484158098026573], [-99.18289634528452, 19.48408418787295], [-99.18314262203117, 19.48316694284896], [-99.18317229453548, 19.48305642842549], [-99.18320498830339, 19.48293755142929], [-99.18341674633726, 19.482167579002446], [-99.1834742660105, 19.481936715680906], [-99.1835911370933, 19.48145635663], [-99.18359894528808, 19.481427648907182], [-99.18374197773157, 19.48090177190471], [-99.18404438852166, 19.479789908655473], [-99.18433453997261, 19.47877378784341], [-99.18460297695458, 19.477833700275205], [-99.18462068621972, 19.477771680634074], [-99.18463374823884, 19.47772593608828], [-99.1845062028171, 19.477511889743514], [-99.18416000501686, 19.476930898291084], [-99.18393554054136, 19.476595760021894], [-99.18416604032642, 19.47681390392361], [-99.18442956869696, 19.47715095193866], [-99.18456954008965, 19.477304843906342], [-99.18463331308162, 19.477341825202327], [-99.18469089427582, 19.47735736494615], [-99.18473818743877, 19.47736511594671], [-99.18533759582027, 19.477470241834467], [-99.185383243686, 19.47747824759548], [-99.18566330226722, 19.47748254028783], [-99.18717663263288, 19.477293129411187], [-99.18716159181503, 19.476987291628962], [-99.18721505472747, 19.4769969854136], [-99.18788542783936, 19.47714447656912], [-99.18822272697568, 19.477266964104263], [-99.18829166289396, 19.477323436777635], [-99.18836059885993, 19.47737990942403], [-99.18864673523044, 19.477523468304224], [-99.1886935586049, 19.477546960221233], [-99.18878595788725, 19.477593318128722], [-99.18882732525744, 19.477614072646013], [-99.18886869263808, 19.47763482715372], [-99.18896948242013, 19.477685394526063], [-99.18884626380873, 19.478940103188098], [-99.18883963553134, 19.479007596984776], [-99.18883131508586, 19.479092321554365], [-99.18873309393254, 19.48014615854164], [-99.18864494038769, 19.481091966707165], [-99.1886177015318, 19.481384212968287], [-99.18859901417407, 19.481676273915863], [-99.18858409046724, 19.4819271308963], [-99.18857266738284, 19.48216910488205], [-99.18857188886663, 19.482507630629957], [-99.18860788789866, 19.482852725146188], [-99.18867250439314, 19.483210681976825], [-99.1886992557638, 19.483322864790676], [-99.18872600717197, 19.483435047598874], [-99.18875361265854, 19.483550811838803], [-99.18880539449812, 19.483735749425396], [-99.1888638952672, 19.483914300968134], [-99.18898531720943, 19.484216114543667], [-99.18915609738569, 19.484545518898475], [-99.189322332317, 19.484821769342208], [-99.18946157872107, 19.485025752317455], [-99.18958508632883, 19.485191477546735]]]}","{ ""type"": ""Point"", ""coordinates"": [-99.1863123775,19.4811765098] }"
TEZOZOMOC,AZCAPOTZALCO,02-102,6,1,1,1,1,"{""type"": ""Polygon"", ""coordinates"": [[[-99.19651910340124, 19.49166803725208], [-99.19641668538117, 19.491636593780672], [-99.19633496718954, 19.491714267529183], [-99.19610747526211, 19.49143008979318], [-99.1954380838326, 19.490593893743682], [-99.19486964682488, 19.489883799983204], [-99.19491330857268, 19.489790264649102], [-99.1955346947253, 19.48816499254838], [-99.19558660173708, 19.48802889687775], [-99.19573536958961, 19.487638839170636], [-99.196163381338, 19.486516614701344], [-99.196634151935, 19.485373908096165], [-99.19700531804786, 19.48563499012601], [-99.19706164148637, 19.485674608466237], [-99.1973484532568, 19.485876353497186], [-99.19761993931117, 19.486067317444896], [-99.19789571955349, 19.486261653123933], [-99.19817172176458, 19.486455439898492], [-99.19848600386796, 19.486676503582213], [-99.1992201614148, 19.487192900009614], [-99.199324357936, 19.48726618991318], [-99.19963016146933, 19.487486938511932], [-99.19971157133844, 19.487545705185774], [-99.20001962729344, 19.487768078286635], [-99.20024498954054, 19.487930757429737], [-99.20034723643765, 19.488004564788223], [-99.20061331705914, 19.48819663562898], [-99.20071765539726, 19.48829535459388], [-99.20070294129287, 19.488436563149843], [-99.20074027465148, 19.488528296731463], [-99.20082224628763, 19.4885988019728], [-99.20094885622636, 19.488648078813522], [-99.20107542266395, 19.48866205755288], [-99.20117392779328, 19.48864866570358], [-99.20143050686724, 19.488870730939116], [-99.20128577555035, 19.48942783579104], [-99.20123838323947, 19.48961025908907], [-99.20120333690853, 19.48974515976102], [-99.2011841479637, 19.489819021934316], [-99.20103770878184, 19.4903826940473], [-99.20071930271811, 19.491433899386564], [-99.20062411477696, 19.491748155982393], [-99.20056745237879, 19.491935222490337], [-99.20043570246727, 19.49237018287792], [-99.20040630527346, 19.4924672347205], [-99.2001791074921, 19.493131193195254], [-99.19983520989409, 19.49301575825557], [-99.19969130540117, 19.492966587362766], [-99.19954938033209, 19.492919083042736], [-99.19945488658242, 19.492886808682762], [-99.19933854265433, 19.492847548699974], [-99.19922343872221, 19.492808963822636], [-99.19900638084206, 19.492735460965633], [-99.19891412501667, 19.492704329175975], [-99.19867117808462, 19.492622346288904], [-99.19859227656391, 19.492596059441826], [-99.19834781694483, 19.4925132268434], [-99.19823299336551, 19.492467158143928], [-99.19801982602355, 19.492372735930157], [-99.19797820971539, 19.492352756516002], [-99.19783088188483, 19.492224272584536], [-99.19771174047898, 19.492121850836735], [-99.19756378497183, 19.492003076421092], [-99.19709775479366, 19.49183731675602], [-99.19651910340124, 19.49166803725208]]]}","{ ""type"": ""Point"", ""coordinates"": [-99.1981532439,19.489479925] }"
SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,04-056,7,3,3,5,5,"{""type"": ""Polygon"", ""coordinates"": [[[-99.30517178271744, 19.354131673101367], [-99.30438128486006, 19.356084048167975], [-99.30392724088617, 19.35730038240539], [-99.30388633539089, 19.357446446316384], [-99.30376236775938, 19.35788910398342], [-99.30371093251077, 19.35857696453969], [-99.30384019828385, 19.35977376478333], [-99.30389630819047, 19.360104036825966], [-99.30392261694244, 19.360258893933057], [-99.3043718946918, 19.362781573348887], [-99.30440142935281, 19.363140452650896], [-99.30436334002886, 19.363773280044136], [-99.30432790636146, 19.36396802939136], [-99.30429967484272, 19.36403149870856], [-99.30424525024465, 19.36424728107119], [-99.30416622486518, 19.36442887006632], [-99.30403328555467, 19.364716684263644], [-99.30388588567033, 19.365066647125904], [-99.30380738096484, 19.364998965649], [-99.30362008292427, 19.3647841486821], [-99.30270572822798, 19.36403761929284], [-99.30228213440188, 19.363454083410893], [-99.30218549076099, 19.3633028990263], [-99.30205309795349, 19.362740593616294], [-99.30199236565944, 19.362482646976765], [-99.30195248700774, 19.362323620939886], [-99.3018684566581, 19.36219901794236], [-99.30159869215909, 19.36194394575515], [-99.30171094138778, 19.36183605022614], [-99.30184428357138, 19.361578047185745], [-99.30192288808381, 19.361384726098247], [-99.30193664869365, 19.361350780209133], [-99.30201084133965, 19.361030163969247], [-99.30204318714779, 19.360781496370866], [-99.30205654399846, 19.36056752874342], [-99.30198293930627, 19.360570977723825], [-99.30196133649574, 19.36056506800823], [-99.30159346114738, 19.36046443070278], [-99.30131215049494, 19.360375949427535], [-99.30029994609865, 19.36007428947045], [-99.3000619776981, 19.360033629286974], [-99.29975915445226, 19.360006759706497], [-99.29953094803383, 19.36004818765284], [-99.29952196868751, 19.36026130757101], [-99.29956821552567, 19.360387207700448], [-99.29969956060681, 19.360587805406343], [-99.29985178274451, 19.360728793527656], [-99.29963282250827, 19.361613003532664], [-99.2996009155173, 19.361741850240335], [-99.29955241194607, 19.36223922552435], [-99.29950683679277, 19.363010981652526], [-99.2995270655855, 19.36345579965272], [-99.29961387242497, 19.363997202443006], [-99.29905908046933, 19.364077358513473], [-99.29874953621231, 19.364061987825316], [-99.2985178959916, 19.364015917637722], [-99.29842345383848, 19.36397057389772], [-99.29799353474387, 19.363593380705872], [-99.29786582311597, 19.36339573909809], [-99.29780839754724, 19.363229296383196], [-99.29716193511902, 19.36275061048081], [-99.29704882501102, 19.362651552179532], [-99.29697746917908, 19.362512728565033], [-99.29692277918191, 19.36233815031199], [-99.29688884418692, 19.36207620447477], [-99.2968476847677, 19.361628251062573], [-99.29500507735492, 19.36192701514024], [-99.29446306996276, 19.362037840804607], [-99.29437856855262, 19.362052563895254], [-99.29367256960228, 19.362115712708356], [-99.29343810607996, 19.36215831286385], [-99.2932152796043, 19.362156614004608], [-99.29338540411857, 19.36182542043503], [-99.29351661136921, 19.361401955724027], [-99.2935761933085, 19.3603699240951], [-99.29382780262343, 19.359842326899734], [-99.29382953741894, 19.359507962667127], [-99.29382958194296, 19.359495521741504], [-99.29383101481064, 19.359095149978877], [-99.29386274545553, 19.358977394323016], [-99.29364747959416, 19.359143682858555], [-99.29283376303609, 19.35996755415811], [-99.2926590950619, 19.36009794355157], [-99.29213174517889, 19.360377627947862], [-99.29204557339978, 19.36041498666076], [-99.29017120124026, 19.36109200680751], [-99.29008396947319, 19.36113683225733], [-99.28929207447469, 19.361543757244732], [-99.28777436433842, 19.36241491626711], [-99.2875416826839, 19.362575916517866], [-99.287030742489, 19.362986512019592], [-99.2869734809525, 19.362788548328602], [-99.28690122722301, 19.362697429428305], [-99.28654464261942, 19.36268963174266], [-99.2859553077825, 19.36269851513068], [-99.28596433473454, 19.362614207550745], [-99.2863298610715, 19.36254084389601], [-99.2867987521448, 19.362444104632594], [-99.28727565099078, 19.362279244476124], [-99.28777231947399, 19.362021104847702], [-99.28807692799104, 19.361734323135384], [-99.28846808988379, 19.361170012337496], [-99.28929834894579, 19.35980205757952], [-99.29136838558422, 19.356479987763905], [-99.29239764636841, 19.35532220472573], [-99.29318269570844, 19.354439112610056], [-99.29350841124763, 19.354092969949534], [-99.29409630127421, 19.35346838337634], [-99.2944891580059, 19.353159775992513], [-99.29487087246342, 19.352634485626265], [-99.29571988982191, 19.351869594985434], [-99.29618489009977, 19.3515627180892], [-99.29696752042062, 19.351280884155596], [-99.30219076095676, 19.349887141793474], [-99.30222482582029, 19.34988085065313], [-99.30349078161072, 19.34964704755219], [-99.30437955583335, 19.349685025852], [-99.30498701481942, 19.349569985543514], [-99.30556154415903, 19.349414830639326], [-99.30579876921021, 19.3493076841552], [-99.30607029852881, 19.349094158974506], [-99.30625541379803, 19.348860078642684], [-99.30631014188388, 19.348790874201846], [-99.30648613123158, 19.34835051059563], [-99.3068959914888, 19.347271753215765], [-99.30670633858551, 19.348377337557263], [-99.30652226508927, 19.349694841616028], [-99.30648508604861, 19.3498821742658], [-99.30616253470792, 19.351507383997973], [-99.30559154466539, 19.353019824675663], [-99.30517178271744, 19.354131673101367]]]}","{ ""type"": ""Point"", ""coordinates"": [-99.2986516771,19.3566633045] }"
ARAGON LA VILLA (ARAGON),GUSTAVO A. MADERO,05-006,6,1,1,1,1,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1178093351556, 19.48275009855047], [-99.11716056308472, 19.48254312689307], [-99.11635690180705, 19.482287046265473], [-99.11549043014266, 19.482010946667653], [-99.1146394085256, 19.48173976523744], [-99.11383670690081, 19.48150470455044], [-99.1131298823292, 19.48136587287948], [-99.11232201998534, 19.481113940613135], [-99.1120182484215, 19.4810394918831], [-99.11167933734136, 19.481162133822004], [-99.11145862697975, 19.481033719632915], [-99.11121480963443, 19.480891860736246], [-99.11040010227421, 19.480417839863286], [-99.10903500666235, 19.479621046653516], [-99.10854921739978, 19.47934091620393], [-99.10846763617855, 19.479293448006974], [-99.10879570468421, 19.478854656521833], [-99.1091549386489, 19.478374177847176], [-99.10959643316741, 19.47778367006811], [-99.11023805429755, 19.476929568201832], [-99.11069743199843, 19.476308599476347], [-99.11095549929547, 19.4762547444788], [-99.11188935525368, 19.476587500905175], [-99.11302753868787, 19.476993055987414], [-99.11362360353765, 19.47720532561131], [-99.11401870412892, 19.477346026786773], [-99.11445930081021, 19.47750292848656], [-99.1148504959713, 19.477642236564055], [-99.11506086672246, 19.477717151010896], [-99.1152552660776, 19.477782873264236], [-99.11563257724463, 19.477918889650596], [-99.11605438313335, 19.478070944674702], [-99.11653206917242, 19.478235085382583], [-99.11688901711118, 19.478357737469707], [-99.11765408014344, 19.478620620361088], [-99.11850316519941, 19.478912369221415], [-99.11889151309542, 19.479045805357607], [-99.11928422836984, 19.479180741050058], [-99.11894394377791, 19.48000427146214], [-99.11857235005661, 19.48090356355845], [-99.11829792544923, 19.481567690304054], [-99.1178093351556, 19.48275009855047]]]}","{ ""type"": ""Point"", ""coordinates"": [-99.1139779988,19.4794876647] }"
CUCHILLA DEL TESORO,GUSTAVO A. MADERO,05-035,11,4,5,7,9,"{""type"": ""Polygon"", ""coordinates"": [[[-99.06224353542649, 19.4448517775722], [-99.06249860538017, 19.444944767117494], [-99.0625644931911, 19.444960641560343], [-99.06264987229198, 19.44499196309687], [-99.06275365893768, 19.44502779374011], [-99.06289940765289, 19.445075008631918], [-99.06337275729716, 19.445235474394217], [-99.06349112917732, 19.44527522660067], [-99.06398360790729, 19.44544428938935], [-99.06410408113229, 19.44548313667046], [-99.06470428638016, 19.445686439456885], [-99.06474171173247, 19.44574760097175], [-99.0652055609804, 19.44590647518031], [-99.06530678006132, 19.445943351057505], [-99.06682310267325, 19.446474470993447], [-99.06701500081729, 19.44654344650651], [-99.06704828236579, 19.44656070853474], [-99.06709209092912, 19.44658343055921], [-99.06716918107864, 19.446623414578855], [-99.06721541266583, 19.446655303911722], [-99.06725012650435, 19.44667929903824], [-99.06659950729099, 19.44694923147165], [-99.06623623644175, 19.4471000032417], [-99.06591997302009, 19.447231264249965], [-99.06522658655594, 19.44747847652471], [-99.06448896551241, 19.447748542638543], [-99.06429601216635, 19.447822066356995], [-99.06244355100566, 19.448504951217355], [-99.06124854762467, 19.44893246095105], [-99.06100244663605, 19.44902759055824], [-99.0600847803653, 19.449362392259356], [-99.05873557528882, 19.449696602232297], [-99.05832914985538, 19.44984755095163], [-99.05826177804305, 19.449870533205733], [-99.05639209872794, 19.450563329467666], [-99.05455013600695, 19.451247271321275], [-99.05177464561915, 19.45226353587031], [-99.05170825620434, 19.45209581258816], [-99.0511664859556, 19.45072709422966], [-99.05092676566358, 19.450121461372618], [-99.05095564410102, 19.45008572577113], [-99.0510303529424, 19.45000029223769], [-99.05105783573573, 19.4499688739412], [-99.05239708157707, 19.44860849767592], [-99.0524892228122, 19.448514901447258], [-99.05258136394167, 19.448421305171088], [-99.05286440269212, 19.44831772820574], [-99.0536564292468, 19.448027886020164], [-99.05395347250428, 19.447918187060054], [-99.05402973171033, 19.447890016054032], [-99.05464297756205, 19.447663441423142], [-99.05466324102646, 19.447652247266383], [-99.05544057466118, 19.447365087557642], [-99.05626229581786, 19.44706152564967], [-99.05697878825575, 19.446800474629782], [-99.05702848989951, 19.446782148838395], [-99.05789752527197, 19.446461446425598], [-99.05860716548283, 19.4461952524063], [-99.05947995658606, 19.4458728040963], [-99.05954841357632, 19.445847512771753], [-99.05960711943577, 19.445825823959925], [-99.06038420413057, 19.445538728583035], [-99.06045418524972, 19.44551287371606], [-99.0605348511959, 19.445486797990387], [-99.06144753435022, 19.44514587223091], [-99.06152617681546, 19.445120066222987], [-99.0620983412, 19.44490542211895], [-99.06224353542649, 19.4448517775722]]]}","{ ""type"": ""Point"", ""coordinates"": [-99.0582996553,19.4482466932] }"
GABRIEL HERNANDEZ,GUSTAVO A. MADERO,05-063,6,1,1,1,1,"{""type"": ""Polygon"", ""coordinates"": [[[-99.10107375566125, 19.49205751100865], [-99.10114604845376, 19.49220582300374], [-99.1009248189614, 19.492556476093405], [-99.10109826890228, 19.492776435683517], [-99.10122683663398, 19.493114911522266], [-99.1011413971136, 19.493534142274363], [-99.10132659161945, 19.49358643362403], [-99.10145203097328, 19.493597692006624], [-99.10146593519079, 19.493667783593366], [-99.10157415788423, 19.493707598477577], [-99.1021179378836, 19.493907652631325], [-99.10249643599221, 19.494038509934704], [-99.10302463088351, 19.494220091797754], [-99.10315958401586, 19.49419128111953], [-99.10364993784984, 19.494269366072224], [-99.10398310971935, 19.494355040948708], [-99.10449296782619, 19.494498752166628], [-99.10448889600427, 19.49439867513203], [-99.10447617587168, 19.494086039502736], [-99.10472677118386, 19.493984020218246], [-99.10482310178166, 19.493863804796206], [-99.10496893425116, 19.493620788783414], [-99.10511199154939, 19.49334642825518], [-99.10585239564926, 19.492489206100757], [-99.10621602037783, 19.49253862433696], [-99.1067027260066, 19.492593859814278], [-99.10694876917212, 19.49262178236423], [-99.10726090893482, 19.49260399637645], [-99.107458330801, 19.49259274683173], [-99.10768700176958, 19.492665751655164], [-99.1089183270833, 19.49276688966398], [-99.10892123358826, 19.492994146436963], [-99.1093509384416, 19.492999111766267], [-99.10937017605049, 19.49293379597552], [-99.10965661887703, 19.492897052389857], [-99.10968686376597, 19.492816056897475], [-99.10982494266551, 19.49285560304406], [-99.11014776153411, 19.492948058698566], [-99.11019812416384, 19.492955082888766], [-99.11056505955744, 19.49300625975879], [-99.11067293952556, 19.493019683557847], [-99.11079266503354, 19.49302073447973], [-99.11135566679448, 19.49303493316611], [-99.11125950522346, 19.493255720364953], [-99.11081637195043, 19.493705059591065], [-99.11043982961824, 19.494711885741882], [-99.11042673377541, 19.49611237504695], [-99.11038721311469, 19.497012436620796], [-99.11025107521523, 19.497467295354454], [-99.11021732330346, 19.497599001927867], [-99.11013500095787, 19.49792023893326], [-99.10995481466061, 19.498519739070662], [-99.10991561413802, 19.49864552157296], [-99.1095924071855, 19.499682586223937], [-99.10954193251658, 19.499839169960573], [-99.10918309594783, 19.500952352339844], [-99.10905375378415, 19.501353593539825], [-99.10879716746572, 19.502158007200357], [-99.10878543009339, 19.502194804375208], [-99.10855845674014, 19.503033343460775], [-99.10854965318147, 19.50306586748693], [-99.10854240292059, 19.503092652971645], [-99.10846369203102, 19.50338344320944], [-99.10822349713737, 19.504119003206128], [-99.10817551078296, 19.504296933516756], [-99.10813457358954, 19.504448725675385], [-99.10808128441563, 19.504744614576435], [-99.10697616445391, 19.504528962780007], [-99.10652287440494, 19.50444050617778], [-99.10644521374788, 19.504456919137883], [-99.10620677604942, 19.50402644615469], [-99.10574979304222, 19.50440373325147], [-99.10545269022045, 19.504521688366147], [-99.10550990152706, 19.504839764746855], [-99.10510290494639, 19.504889745970114], [-99.10486796256032, 19.504906153573984], [-99.104626936206, 19.504927500427446], [-99.10413944568441, 19.504948581055388], [-99.10359567507838, 19.50493890182042], [-99.10353767798524, 19.504937646059417], [-99.10332044716077, 19.504965429020924], [-99.1031032162608, 19.504993211721906], [-99.10276632722557, 19.505036297541], [-99.10244290117193, 19.504957784652092], [-99.1021467787818, 19.504768152732417], [-99.10164829634367, 19.504417031619383], [-99.10162838535066, 19.504403006651582], [-99.10150044136765, 19.504294927379256], [-99.10139873702082, 19.50420901358263], [-99.10139319320737, 19.504163869724003], [-99.10138073905054, 19.504062454114546], [-99.10145293806431, 19.503785616988335], [-99.10164114180091, 19.50337476354045], [-99.1016996912839, 19.503338516615738], [-99.1017246925043, 19.503267546633047], [-99.10169606655258, 19.503172751653683], [-99.10162992044698, 19.50303565137204], [-99.10161733690134, 19.502898520997306], [-99.10142961086405, 19.502485520913307], [-99.10132602859902, 19.50243986645154], [-99.1011030304044, 19.5023338879232], [-99.10075346199713, 19.502193873473864], [-99.10036405582144, 19.50204623555045], [-99.10010568950975, 19.501949689480007], [-99.09982891810293, 19.5018462652734], [-99.09974690202549, 19.501815617319416], [-99.09931214422164, 19.50166128851396], [-99.09889594850893, 19.50157415984733], [-99.0988131539263, 19.501550900727587], [-99.09843119039598, 19.501443596806805], [-99.09836877247874, 19.501425371333408], [-99.09804079574025, 19.501328357983827], [-99.09795373015223, 19.50130260443927], [-99.09754282408343, 19.501312330228085], [-99.09740911224156, 19.501318493277832], [-99.09688902123388, 19.501235127842673], [-99.09645030253526, 19.501135316935432], [-99.0960082652633, 19.50103474983293], [-99.09593121457122, 19.50102126140405], [-99.0962804511655, 19.500457187858018], [-99.0964961281416, 19.500108832385393], [-99.09684742743298, 19.499541419754248], [-99.09721463929951, 19.498995170581566], [-99.09749568625907, 19.49857709376804], [-99.09810691509352, 19.49765692425771], [-99.09817953801341, 19.497547593838448], [-99.09870448592451, 19.49674034021946], [-99.09898183257745, 19.49631050181592], [-99.09929798003375, 19.49582052571246], [-99.09940699020117, 19.4956515772251], [-99.09974746043527, 19.49514355564717], [-99.09992139273436, 19.494858271972078], [-99.10001494696729, 19.49470482387919], [-99.10009777552807, 19.494521250151536], [-99.10016079647036, 19.494381575933822], [-99.10025796992986, 19.49406989651265], [-99.1003352778345, 19.49367056000633], [-99.10037494937623, 19.493389525203522], [-99.10037436765218, 19.49284331941001], [-99.100264390948, 19.49213292096944], [-99.10024948456645, 19.492032976359454], [-99.10048108419747, 19.492054124144655], [-99.10056835349515, 19.492061596333926], [-99.10107375566125, 19.49205751100865]]]}","{ ""type"": ""Point"", ""coordinates"": [-99.1043371268,19.498571569] }"
LA PASTORA,GUSTAVO A. MADERO,05-106,7,3,3,5,6,"{""type"": ""Polygon"", ""coordinates"": [[[-99.13199117815317, 19.531652397815037], [-99.12955649732248, 19.531662215379328], [-99.12928929098149, 19.52964785908395], [-99.12928750154295, 19.529392372681436], [-99.12928022817216, 19.52835391080258], [-99.12927321647211, 19.528136356486662], [-99.12923279433446, 19.526882152982616], [-99.13003072639631, 19.52683857918851], [-99.130924045243, 19.526186810203967], [-99.1319260885218, 19.525838043169422], [-99.13267707441796, 19.525659217333974], [-99.13524757127963, 19.524831207637703], [-99.13544326540074, 19.524682493937302], [-99.13557421137274, 19.524636002280182], [-99.13562922571194, 19.524620344453364], [-99.13565410953586, 19.52432357279025], [-99.13571809970598, 19.524429833749856], [-99.13593760107436, 19.524252247088995], [-99.13606353180612, 19.524149481169225], [-99.13617135797638, 19.524044282779062], [-99.13631649519688, 19.52394959279494], [-99.13664410021588, 19.52375667562858], [-99.13788946827476, 19.522683876783546], [-99.1379233524509, 19.522631415480006], [-99.13838311218818, 19.52225177163924], [-99.13897174227426, 19.52175167151323], [-99.13908225199607, 19.521657781895144], [-99.1391450588528, 19.521612832440045], [-99.1392616388714, 19.521529398618252], [-99.13953581067793, 19.521333179095482], [-99.13956976067638, 19.521282196655044], [-99.13962465407535, 19.521199763596755], [-99.13972381098198, 19.521267244259967], [-99.13990770488026, 19.52131056899979], [-99.14016125303267, 19.521304781760403], [-99.14038230962873, 19.521229133060544], [-99.14059805216618, 19.52108574906036], [-99.14094100655862, 19.52141647317043], [-99.14101268101176, 19.52148559134726], [-99.1408157307698, 19.52147763162884], [-99.14048843787911, 19.521738338539578], [-99.14038060042579, 19.521947914631234], [-99.14025639430665, 19.522189301564588], [-99.140257953272, 19.52221008622779], [-99.14028370065833, 19.522553358440867], [-99.14029412968087, 19.522692400997002], [-99.14030418879715, 19.522826511624363], [-99.1403519836795, 19.523463721624253], [-99.14043231708601, 19.52453472919725], [-99.14046782536623, 19.52500812197951], [-99.14051900920965, 19.52569049464405], [-99.14054761566422, 19.5260718674793], [-99.140560045438, 19.526237576975838], [-99.14058016233973, 19.52650576787836], [-99.14058773440404, 19.52660671552456], [-99.14077441030933, 19.526895354300226], [-99.14090166931543, 19.527092121802305], [-99.14107261099366, 19.52735643042091], [-99.14135469843254, 19.527792589437485], [-99.14169044942389, 19.528311718492247], [-99.14192080835443, 19.52866789089736], [-99.1420900570899, 19.528929575794923], [-99.14214636413965, 19.528994926785213], [-99.14214400417804, 19.529083207453283], [-99.14213344528957, 19.52947818984871], [-99.14213019602226, 19.529644260827123], [-99.14124063759684, 19.529901211937343], [-99.1409913362291, 19.529973222311853], [-99.14050137655724, 19.53010494007961], [-99.14001141608263, 19.530236656522412], [-99.13962383458394, 19.530357650047517], [-99.13955752039774, 19.530346857781232], [-99.13949120622023, 19.53033606549056], [-99.13936042750382, 19.530383995353386], [-99.13826572841961, 19.53075827001128], [-99.13710095926929, 19.53108993171068], [-99.13637557763045, 19.531243792538252], [-99.13602516576984, 19.531307842884267], [-99.13567649283172, 19.53136165141104], [-99.13539925430362, 19.531397958376825], [-99.13343833797424, 19.53159159460903], [-99.13199117815317, 19.531652397815037]]]}","{ ""type"": ""Point"", ""coordinates"": [-99.1357630076,19.5276450764] }"
