location,total_vaccinations,people_fully_vaccinated,daily_vaccinations,date
Lesotho,1077116.0,872661.0,17261.0,2022-07-17
Liberia,2921554.0,2328125.0,89696.0,2022-07-03
Libya,3667090.0,1215576.0,23862.0,2022-07-17
Liechtenstein,71303.0,26436.0,726.0,2022-07-29
Lithuania,4493321.0,1877253.0,27613.0,2022-08-02
Low income,200030386.0,113198247.0,3234686.0,2022-07-19
Lower middle income,4339430816.0,1871556737.0,17049087.0,2022-08-03
Luxembourg,1328097.0,462537.0,7216.0,2022-07-30
Macao,1452931.0,589853.0,6788.0,2022-08-03
Madagascar,2369775.0,1289181.0,103267.0,2022-07-17
Malawi,3171945.0,1517989.0,23942.0,2022-07-10
Malaysia,71870280.0,27455292.0,550360.0,2022-08-03
Maldives,949382.0,384715.0,7843.0,2022-07-25
Mali,2683868.0,1428505.0,58966.0,2022-07-17
Malta,1330533.0,470308.0,8191.0,2022-08-02
Mauritania,2853551.0,1335276.0,65422.0,2022-07-17
Mauritius,2564102.0,977728.0,20570.0,2022-07-17
Mexico,209673612.0,79947470.0,1648223.0,2022-07-22
Moldova,2165600.0,1063425.0,16176.0,2022-06-02
Monaco,65140.0,25667.0,313.0,2021-12-21
Mongolia,5492919.0,2175617.0,125462.0,2022-05-18
Montenegro,677333.0,284297.0,11277.0,2022-08-03
Montserrat,4487.0,1903.0,53.0,2022-07-22
Morocco,54924940.0,23450432.0,401310.0,2022-07-18
Mozambique,31616078.0,14098645.0,699149.0,2022-07-17
Myanmar,66954796.0,27545329.0,469524.0,2022-06-18
Namibia,856277.0,443559.0,16348.0,2022-07-10
Nauru,24005.0,8585.0,879.0,2022-07-11
Nepal,52269883.0,20523367.0,567406.0,2022-07-23
Netherlands,36045756.0,12111092.0,270221.0,2022-07-08
New Caledonia,462522.0,180518.0,12978.0,2022-07-18
New Zealand,11511347.0,4127625.0,81487.0,2022-08-03
Nicaragua,11639529.0,5629912.0,311302.0,2022-08-03
Niger,4394310.0,2888988.0,119121.0,2022-07-17
Nigeria,56126494.0,24675659.0,414743.0,2022-07-17
Niue,4161.0,1417.0,87.0,2022-03-13
North America,1038156209.0,382748624.0,4197853.0,2022-08-03
North Macedonia,1856093.0,837577.0,15628.0,2022-07-24
Northern Cyprus,617389.0,275988.0,6011.0,2021-11-26
Northern Ireland,3956543.0,1354009.0,23766.0,2022-08-02
Norway,11516570.0,4050023.0,69139.0,2022-08-02
Oceania,74589777.0,27853970.0,386460.0,2022-08-03
Oman,7075878.0,3041332.0,61172.0,2022-07-06
Pakistan,286651460.0,129643159.0,2175773.0,2022-08-03
Palestine,3737310.0,1773409.0,41850.0,2022-07-19
Panama,8484779.0,3128973.0,71750.0,2022-07-29
Papua New Guinea,623255.0,281948.0,5196.0,2022-07-25
Paraguay,9228436.0,3488170.0,90584.0,2022-07-29
Peru,80978903.0,27919138.0,390070.0,2022-08-03
Philippines,156547670.0,71835024.0,1629125.0,2022-07-14
Pitcairn,94.0,47.0,1.0,2021-09-07
Poland,55122454.0,22528759.0,341329.0,2022-08-02
Portugal,24793071.0,8899233.0,151885.0,2022-07-22
Qatar,7302700.0,2743181.0,37344.0,2022-07-19
